"b104567557","796.357 G","Playing for keeps :","ocm24231825","89045876","0801499240",
"b104569773","796.3576 G","Superstars and screwballs :","911181244","90046089",,
"b104570040","002.075 G","Slightly chipped :","ocm40762708","99018058","0312205872 :",
"b10457267x","J 796.357 G","Teammates /","906433002","89038166","0152006036 (lib. bdg.) :";"0152842861 (pbk.)",
"b104585912","708 G","Catalogue of paintings /","ocm14982896","91164764",,
"b104599157","B GOODWIN W","Wait till next year :","ocm37567424","97039766","0068847955 (pbk.) :";"9780684847955 (pbk.)";"0684824892 :",
"b104612903","FIC GORDON","The rabbi /","700195654",,,
"b104640637","796.3 G73 B","The Brooklyn Dodgers /","834265135","45004599",,
"b104644400","720.97471 G","Changing New York :","ocm24847375","91040254","0486269361 (pbk.) :",
"b10464493x","712.5097 G","Central Park/Prospect Park :","851543011","84082434","0931311055",
"b10465482x","917.4723 G776","History in the streets, or, Some of the historical associations of the streets of Brooklyn ...","871243033",,,
"b104656487","FIC G","I am from Brownsville /","851206790","84001789","0802224563 :",
"b104663522","711.558 G","The making of Prospect Park :","821212951",,,
"b104670939","628.29 G","Reports on trials of duty and capacity of the pumping engines no. 2, at Ridgewood, and of no. 1, at Prospect Hill, made in 1861-'2 /","ocm37041271",,,
"b104673746","027.47471 G","Survey of the Central Children's Room of th Brooklyn (New York) Public Library, 1969 :","ocm32151788",,,
"b104677375","973.79 G7512 U","U.S. Grant post, no. 327.","907011908",,,
"b104684689","388.44 G","Brooklyn elevated /","881139755","87071083","0934088209",
"b104685517","940.9 G","The boys of a Brooklyn church in the great war /","ocm35810554",,,
"b104686431","625.66 G","Brooklyn trolleys /","871511777","85062897","0934088179",
"b10469340x","326 G81","An enquiry concerning the intellectual and moral faculties, and literature of negroes ;","866087894","14015659",,
"b104694051","097 G82","Ex libris ;","906968459","42048810",,
"b10469595x","791.43092 G","The film finds its tongue /","ocm02211857","29013165",,
"b104713550","625.42 G","New York City subway cars /","ocm33070986","94060874",,
"b104718766","718 G816 Rd","Rules and regulations of the Green-Wood Cemetery :","896825252",,,
"b104720426","974.7 G","Report of the receipts and expenditures of the Green-Wood Cemetery.","ocm44734133",,,
"b10472190x","625.42 G","Subway cars of the BMT /","ocm35368678","95009038","0964576511",
"b10472237x","974.71 G","The struggle for black empowerment in New York City :","891270818","88027413","0275926141 (alk. paper) :",
"b104725473","718 G816 S","Suggestions to the lot-owners of the Greenwood Cemetery.","896863670",,,
"b104726180","FIC GREEN","To Brooklyn with love.","700337480",,,
"b104733184","B JAMES G","... And justice for SOME :","ocm33005805",,"0964481901 (pbk.) :",
"b104743621","658.2 G84 I","Industrial location in the New York area.","770118074","57003107",,
"b104753742","285 G87","Sixty years with Plymouth Church /","852067707","07021719",,
"b104760849","352.57471 G878 D","Downtown Brooklyn Civic Center report.","896735427",,,
"b104764879","333.917 G","Improvement and development of Jamaica Bay and the water front of the city of New York other than that of Manhattan Island :","ocm23279609",,,
"b104767455","588 G88","Mosses with a hand-lens :","872089884","01029714",,
"b10476806x","711.4 G","New York's city streets ;","833322403",,,
"b104768083","780.9747 G","New York :","ocm40682027","99011122","0823083497 :",
"b104771744","745.5941 G","Scary scenes for Halloween /","ocm40681737","99018590","0806948426 (pbk.) :",
"b104794537","283 G96","Report of the establishment of Grace Free Church, Williamsburgh, Brooklyn /","ocm28528363",,,
"b104795013","252.67 G","A sermon, preached on the day of the National Fast, January 4th, A.D. 1861 in St. John's Church, Brooklyn, N.Y. /","ocm23951787",,,
"b104809863","917.4723 G","Brooklyn street names :","811523097",,,
"b104809875","917.4723 G984 B","Brooklyn streets named for the signers of the Declaration of Independence.","871235430",,,
"b10482296x","301.441 H","Fort Greene, U. S.A. / /","750117220","74003886","0672518325 :",
"b104878563","B S897 B","An account of the dinner by the Hamilton Club to Hon. James S. T. Stranahan, Thursday evening, December 13, 1888.","896733233","14022130",,
"b104879609","367 B87 H","By-laws, list of officers and members /","907415904","ca 17003847",,
"b104884460","097 H22 F","French book-plates :","906921944","81185724",,
"b104884678","929 H22","Famous families of New York ;","710318418","02025937",,
"b10489376x","097 H22 O","Odd volumes and their book-plates.","906946174",,,
"b104894039","974.7104 H","Power and society :","831235773","81066977","0871543486",
"b104896760","025.28 H","Selecting and appraising archives and manuscripts /","ocm27463645",,"0931828848 :",
"b104897600","FIC Hamill","Snow in August :","96036043","96036043","0316340944 :",
"b104898173","B C124 H","S. Parkes Cadman, pioneer radio minister /","906841083","30013893",,
"b104905852","312.9 C","Characteristics of the population in New York City health areas, 1970 /","852092750","75322536",,
"b104926387","B HARRISON A","An accidental autobiography /","ocm33243901","95040018","0395780004 :",
"b10493315x","022.3 H","Brooklyn Public Library design guidelines /","ocm36472052",,,
"b104936046","B B4142 H","Catharine Esther Beecher (pioneer educator).","820833425","70089189",,
"b104951345","625 N564 T","The grade crossing problem in the City of New York and its solution. :","896154209","26004366",,
"b104954115","305.8924 H","Holy days :",,"85014784","0671462962",
"b104955818","709 H31","A history of the progress of the drama, music and the fine arts in the city of Brooklyn /","896734766","63000033",,
"b104955831","791.068 H","A history of the Parachute Jump, Coney Island, New York /","841013155",,,
"b104963700","020.3 H","The librarians' glossary ;","720268502",,,
"b10496750x","974.72 G79 M","Memorable Green Point /","720135208","a  45002951",,
"b104986037","B H337","A schoolmaster's letters :","906589253",,,
"b104995208","289.9 H","Visions of glory ;","790113686","77029024",,
"b105016512","371.02025 H","The Manhattan family guide to private schools /","ocm36051333","96052239","1569470863 :",
"b105021738","664.1 H","Merchants of Williamsburgh :","906481837",,,
"b105028873","728.314 H","New York, New York :","931099039","92054796","0394556410 :",
"b105028897","974.7 H","The New York pop-up book /","ocm43320617","99075653","0789303744 :",
"b105050957","974.72 H42","The boroughs of Brooklyn and Queens, counties of Nassau and Suffolk, Long Island, New York, 1609-1924 /","861078612",,,
"b105053284","811 H428","Poems on various subjects /","906875476","24012063",,
"b105066758","352.73 H","Alive in the city :","740204398","73011588","0684137089",
"b105081930","974.723 H46 O","Old days and old ways in East New York :","823543788","49001366",,
"b105092691","B HELLER N","Now and then :","ocm38043053","97049658","0375400621 (cloth)",
"b105095618","929.1 H","Tracing your ancestry :","791061561","76014109","0848704150";"084870486X (pbk.)",
"b105109861","352 H 52","Historical sketch of the greater New York /","ocm35190445",,,
"b105164227","FIC HEUMAN","Strictly from Brooklyn /","886306515","56005675",,
"b105176990","B CHISHOLM H","The Honorable Shirley Chisholm, Congresswoman from Brooklyn /","ocm00238871","78127394","0874602599 :";"087460236X",
"b105185541","974.71 H","New York City :","ocm35360881","96043088","0517183307 (hc : alk. paper) :",
"b105185632","025.8409 H","Our past preserved :","907838722","90035860","0816119325 (alk. paper)",
"b105188979","974.23 H","The ancestors of John F. Hildebrand, Jr. and Robert McCampbell Hildebrand /","ocm34009206",,,
"b105190020","974.725 H","The Brooklyn Institute of Arts and Sciences' Biological Laboratory, 1890-1924 :","ocm29515048",,,
"b105200335","352.5 B872 M","The Municipal Club of Brooklyn, 1897-1922 :","ocm42583530",,,
"b105205928","386.6 H656 S","The Staten Island ferry /","855943443","64022357",,
"b105215260","027.47471 H","A history of the Flatbush Branch, Brooklyn Public Library /","ocm34432572",,,
"b105215272","656 H665","History of the Long Island Railroad Company, 1834-1898 /","896649284","a  20001362",,
"b10522764x","016.312 H","Guide to vital statistics in the city of New York, borough of Brooklyn. Churches /","ocm04025468","43011572",,
"b105227869","285.7747 H","Inventory of the church archives of New York city /","834365707","43017461",,
"b105237474","J 974.71 H","The children's guide to historic houses in New York City parks /","ocm48174266",,"0828113432",
"b105241507","309 B 87","Survey, Bedford-Stuyvesant area, Brooklyn N.Y. :","ocm32128220",,,
"b105254320","974.723 H","The Bay Ridge chronicles ;","790134541","76372431",,
"b105255154","296.8332 H","Despite all odds :","911232231","90010115","0671677039 :",
"b105257412","284.1 H699","The history of St. Paul's Ev. Luth. church, Brooklyn, N. Y. from 1853-1903 /","906628562",,,
"b105271640","B N414 L","Adelaide Neilson ;","896648787","16009853",,
"b105272723","B HERMAN H","Brooklyn's Babe :","ocm22977031",,"094371611X (pbk.) :",
"b105274161","B STORRS H","Biographical sketch of Charles Storrs, of Brooklyn, N.Y /","ocm04260986",,,
"b105296478","817 H73 Sco","Samantha at Coney Island :","833623944","11027297",,
"b105303264","B HOLTZMAN W","Who said it would be easy? :","ocm34243408","96001622","1559703024 :",
"b105304682","974.71 H","The historical atlas of New York City :","ocm41272257",,"0805060049 (pbk.) :",
"b105307452","796.357 H","The Brooklyn Dodgers :","811651454","80029309","0312106009 :",
"b105307932","796.3576 H","Dodgers :","871176989","85030925","0020283806",
"b105310797","388.428 H","722 miles :","ocm32545766","95018961","0801852447 :",
"b105310803","388.428 H","722 miles :","931256160","93011169","067167756X :",
"b105313038","288 H","The First Unitarian Church of Brooklyn, one hundred fifty years :","881096563","87046071",,
"b105322313","973.78 f688 H","Life of Andrew Hull Foote :","906828097","07038340",,
"b105325715","001.942 H","Witnessed :","ocm34973491","96027856","0671569155";"9780671569150",
"b105327050","378.74723 H","Brooklyn College, the first half-century /","821011195","81065408","0930888111 :",
"b105342002","362.1 H82 R","Report of study of Kings County Hospital made for the Board of Hospitals, City of New York.","906633816",,,
"b105360326","B B414 Ho","Henry Ward Beecher ;","906785247",,,
"b105361896","B B414 H","Life of Henry Ward Beecher, the eminent pulpit and platform orator. :","834300410","35037070",,
"b105389286","974.7 N56 HH","The Hudson-Fulton celebration, 1909 :","720034975","11019252",,
"b105390811","B H8862","Random recollections of an old political reporter /","906548079","11028846",,
"b105401936","917.4723 H894 O","Our Brooklyn.","871243704",,,
"b105404627","242 H891 S","Some upgathered fragments from the sermons of James Percival Huget.","906766273",,,
"b105407446","929.2 SPOONER H","Brief sketch of the ancestry of Alden Spooner, late of Brooklyn, L.I. ;","ocm18928963",,,
"b105420384","973.3 H","Fragments of revolutionary history :","ocm04289383","08033612",,
"b105421479","974.723 H949","Historical markers and monuments in Brooklyn :","834445555","52066012",,
"b105421558","283.747 H954","The History of Christ Church Bay Ridge, Brooklyn, New York, 1853-1953 :","931278926",,,
"b105426787","728.0973 H","Ranches, rowhouses, and railroad flats :","ocm39498930","98034933","0393730255 :";"0393731863  (pbk.) :";"9780393731866 (pbk.)",
"b105428255","940.9 H955","Two Colored women with the American Expeditionary Forces /","831614575","75155624","0404001742",
"b105429120","624.5 H","The Williamsburg Bridge :","ocm05945941","79314727",,
"b10543081x","914.5804 H","Chasing culture with the Brooklyn Museum.","831578729","69019941",,
"b105439356","B I73 H","An address on the life and character of the late Charles Edward Isaacs, M.D. ;","906634490",,,
"b105444534","305.851 H","Recent Italian immigrants in Brooklyn :","871060504",,,
"b105444959","651.02 H","Standard handbook for secretaries.","700115961",,,
"b105450765","B HIRSHHORN H","Hirshhorn, Medici from Brooklyn ;","791025565","78010120","0525125205",
"b105466001","323.11 I","Materials from the Ideological & Political Conference on Aid to the South and the Struggle for Negro Rights, January 27, 28, 1950 /","ocm17059429","79120047",,
"b105466906","974.723 I","Gravesend, the home of Coney Island.","780206427","73093864",,
"b105466918","974.71042 I","Images of America :","ocm42639948","98087141","0752413473";"0738590053 (pbk.):";"9780738590059 (pbk.)",
"b105477837","974.723 I","Nettie's family :","ocm31758278",,,
"b105487181","974.7102 I","New Amsterdam and its people ;","690048220","68058927",,
"b105489475","974.71 I","The graveyard shift :","ocm42726230","99055059","0916489892",
"b105497526","338.09747 I61 H","Half-century's progress of the City of Brooklyn :","871327827",,,
"b105499134","625.4 I","Interborough Rapid Transit: the New York subway ;","740318868","71090436",,
"b105511250","097 I64","The book-plates of Ludvig Sandöe Ipsen /","906920170","15006689",,
"b105515024","818 I","Diedrich Knickerbocker's history of New-York /","ocm00525887",,,
