001,010,020$a,022$a,245$a
"ocm00486557","\\$a53000160","0405047088",,"Willis Haviland Carrier,"
"ocm14450623",,,,"Dr. Cartwright portrayed,"
"ocm13574819",,,,"A sermon preached in the First Congregational Meeting-house, Lexington, Mass., Sunday evening, April 8, 1883 [a memorial of William Harris and Maria Hastings Cary] /"
"ocm34259049",,,,"Pius X :"
"ocm33849615",,,,"In memoriam :"
"ocm13641334","\\$a07015378",,,"The doric pillar of Michigan :"
"ocm16564924",,,,"William Ellery Channing /"
"ocm06005692",,,,"Channing's life and work :"
"ocm02974084","\\$a13009623",,,"William Cullen Bryant /"
"ocm02659979",,,,"Celebration of the one hundredth anniversary of the birth-day of William Ellery Channing :"
"ocm10294909",,,,"Thinking back :"
"ocm32958775",,,,"Twenty-five years together :"
"ocm33902026",,,,"John White Chadwick :"
"ocm01088976","\\$a01005625",,,"Bryant among his countrymen, the poet, the patriot, the man"
"ocm33434588",,,,"An artist's summer vacation /"
"ocm33471915",,,,"Case of Charles W. Cheshire :"
"ocm22246609",,,,"Father Chiniquy :"
"ocm00093698","\\$a77103736",,,"Shirley Chisholm"
"ocm00242430",,,,"To William Cullen Bryant, at eighty years, from his friends and countrymen."
"ocm35162203",,,,"Congresswoman Chisholm reports to constituents."
"ocm13585577",,,,"Address and prayer at the funeral service of Mrs. Cornelia B. Chittenden, April 16, 1884."
"ocm21209876",,,,"In remembrance of Richard Pike Buck."
"ocm33411143",,,,"A sermon commemorative of Mrs. Mary H. Chittenden :"
"ocm30331523",,,,"[Extracts from his speeches in Congress]."
"ocm33446500",,,,"Address /"
"ocm13588514",,,,"Simeon B. Chittenden :"
"ocm13659339",,,,"In memoriam, William Ives Budington, D.D."
"ocm34148140",,,,"Simeon B. Chittenden and others against Frederick W. Wurster, as mayor, &c., and others /"
"ocm34148299",,,,"Simeon B. Chittenden and others against Frederick W. Wurster as mayor of Brooklyn, and others /"
"ocm33987271",,,,"Simeon B. Chittenden and others, respondents, against Frederick W. Wurster, mayor, etc., and others, appellants :"
"ocm06719719",,,,"Proceedings at the complimentary dinner given to Hon. Simeon B. Chittenden, by his friends :"
"ocm33317773",,,,"In memoriam :"
"ocm33429267",,,,"Letter from Rev. Samuel Buell :"
"ocm00585322","\\$a06038896",,,"Lord Randolph Churchill,"
"ocm00392546",,,,"The reminiscences of Lady Randolph Churchill /"
"ocm00946763","\\$aa 12000443",,,"A sermon addressed to the Second Presbyterian congregation in Albany, March 4, 1838,"
"ocm44928785",,,,"The writings of Edward Paysen Buffet :"
"ocm33427007",,,,"Dinner to honor Everett M. Clark :"
"ocm12862787",,,,"Memorial of Robert Blackwell Clark :"
"ocm04155719",,,,"In memory of the Rev. Dorus Clarke, D.D. :"
"ocm00512876","\\$a01001190",,,"Horace B. Claflin."
"ocm33454108",,,,"Tribute of the Chamber of Commerce of the state of New York to the memory of Horace B. Claflin :"
"ocm33325842",,,,"In memoriam :"
"ocm32388019",,,,"Journal of a tour from Riverhead, Long Island, to the falls of Niagara in June 1831 /"
"ocm33428512",,,,"Biographical sketch of Ency Cleveland, widow of Moses C. Cleveland :"
"ocm15464491","\\$a96192162",,,"A discourse addressed to the United Presbyterian congregation, Troy, February 21, 1864, the Sabbath morning immediately succeeding the funeral of the Rev. Peter Bullions, D.D., their pastor /"
"ocm11143704",,,,"Robert Burns"
"ocm33427178",,,,"In memoriam :"
"ocm23763137",,,,"Aaron Burr :"
"ocm85223485",,,,"Biographical sketch of Moses Conklin Cleveland of Southold, L.I., 1795-1883 /"
"ocm33445955",,,,"Clinton to Clinton at Clinton :"
"ocm04168562",,,,"Public proceedings, on the removal of the Hon. De Witt Clinton, from the office of Canal Commissioner."
"on1156782035","\\$a32008202",,,"History of the administration of the department of the Gulf in the year 1862 :"
"ocn725937896","\\$a23018299",,,"The works of Irvin S. Cobb."
"ocm24857096",,,,"A Memorial of Mr. Ephraim Buttrick, born August 31st, 1793, died January 13th, 1874, and of Mrs. Mary Buttrick, born March 8th, 1803, died February 14th, 1885 :"
"ocm11034728",,,,"A modern missionary to an ancient people."
"ocm32729907",,,,"The correspondence of Cadwallader Colden and Hugh Graham on infectious fevers (1716-1719) /"
"ocm33446296",,,,"John Byrne, M.D., M.R.C.S.E., LL. D. :"
"ocm00348813","\\$a31005316",,,"Cadillac, knight errant of the wilderness,"
"ocm33463369",,,,"Obstacles to the progress of medicine in Colonial New York :"
"ocm24606659",,,,"Cadwallader Colden,"
"ocm32769709",,,,"Biographical and bibliographical notes on Cadwallader Colden /"
"ocm14175925",,,,"John Calvin,"
"ocm33487538",,,,"Biographical sketch of Edward Francis Cavanagh, Jr."
"ocm33446715",,,,"S. Parkes Cadman :"
"ocm85223492",,,,"Rev. Leander T. Chamberlain, D.D., 1837-1913 /"
"ocm33089351",,,,"Brooklyn, the birthplace of Jennie Jerome, greets Rt. Hon. Winston Spencer Churchill, Prime Minister of Great Britain."
"ocm03160322","\\$a30013893",,,"S. Parkes Cadman, pioneer radio minister,"
"ocm34066684",,,,"[Correspondence] ."
"ocm33435552",,,,"In memory of Mrs. Mary Elizabeth Camp :"
"ocm85223505",,,,"Memorial service honoring the Rev. L. Mason Clarke, D.D., September 9, 1859-November 6, 1944 :"
"ocm11311921",,,,"Glimpses into the consecrated life of Emily Frances Campbell /"
"ocm13112539",,,,"An address delivered, March 31, 1864, on occasion of the funeral of the Rev. John N. Campbell, D.D., late pastor of the First Presbyterian Church, Albany. /"
"ocm33453284",,,,"Some implications and obligations of our historic heritage :"
"ocm33488433",,,,"Excerpts from My youthful days /"
"ocm85223514",,,,"Charge to the Rev. Richard S. Campbell, D.D., at Southampton, April 9, 1895 /"
"ocm13116497",,,,"Martha, daughter of Mehetabel Chandler Coit, 1706-1784."
"ocm33319527",,,,"All the way :"
"ocm00945519",,,,"A discourse delivered October 1, 1851, on occasion of the inauguration of the Rev. Wm. H. Campbell, D.D. :"
"ocm33319632",,,,"Along the way :"
"ocm08889455",,,,"Story of the discovery of the new world by Columbus."
"ocm85223521",,,,"Biography of John E. Cone."
"ocm33963248",,,,"The superior man of Confucius /"
"ocm33319833",,,,"Funeral discourse on the occasion of the death of Mrs. Betsy Coningham :"
"ocm33412253",,,,"Luciano Conterno and Sons' Famous Concert Band of the Ninth Regiment, N.G.N.Y. :"
"ocm33493182",,,,"Seventy-first annual dinner of the Brooklyn Bar Association in honor of Honorable Albert Conway, chief judge, court of appeals, retiring December 31, 1959 :"
"ocm00591501","\\$a73003410","0316200700",,"Winner lose all"
"ocm03635002","\\$a14008460",,,"Life and character of Peter Cooper /"
"ocm13590593",,,,"Tribute of the Chamber of Commerce of the State of New-York, to the memory of Peter Cooper, LL.D. May 3, 1883."
"ocm05081542","\\$a05022332",,,"A memorial of Rev. William Henry Campbell, D.D., LL.D., late president of Rutgers College /"
"ocm33428749",,,,"James Fenimore Cooper sesquicentennial celebration /"
"ocm00206431","\\$a79136055","0837152054",,"Aaron Copland"
"ocm06160245","\\$a38029047",,,"That's my story,"
"ocm06216812","\\$a33031201",,,"Recollections of a life"
"ocm11672182",,,,"Reverend Eli Hawley Canfield, D.D. :"
"ocm03086440",,,,"George B. Cortelyou :"
"ocm33434097",,,,"Harry Cott :"
"ocm33495513",,,,"Annual benefit dinner dance honoring Mrs. Almira Coursey, Friday evening, June 22, 1973 at Le Cordon Bleu, 96th Street and Jamaica Avenue, Queens, New York /"
"ocm27281722",,,,"The delegate from Utah."
"ocm04762368","\\$a36029989",,,"Interviews:"
"ocm33482361",,,,"Biographical note on Thomas Capek /"
"ocm04765089","\\$a99000021",,,"Life of Samuel Sullivan Cox,"
"ocm33421757",,,,"Addresses given at the funeral services of Melissa Williams Creegan, Brooklyn, N.Y., August 3, 1897 /"
"ocm01287625","\\$a74021306","0394474368",,"The Alice Crimmins case /"
"ocm33397276",,,,"Remarks and prayer /"
"ocm33478515",,,,"Anna Cromwell's diary, 1841-1845."
"ocm33429357",,,,"Funeral service of Richard J. Dodge, Esq. /"
"ocm33490616",,,,"Dinner in honor of the Hon. Edgar M. Cullen by the Brooklyn Bar Association :"
"ocm33447269",,,,"About Tom Currie-Bell and his art /"
"ocm33431672",,,,"The son of consolation :"
"ocm34220633",,,,"Robert Dodge, Eliza P. Dodge :"
"ocm33472228",,,,"Biography of Pearl E. and Henry W. Donald /"
"ocm33422066",,,,"Ellen E. Doty :"
"ocm02759102","\\$a46041586",,,"""Effendi,"" Frank Nelson Doubleday, 1862-1934,"
"ocm13345863",,,,"Nelson Doubleday, 1889-1949."
"ocm21426972",,,,"The ornament of great price."
"ocm24892515",,,,"A discourse, on occasion of the interment of Rev. Lyman Cutler Newton Corner, May 5, 1855."
"ocm04802442","\\$a37020273",,,"The empty crib:"
"ocm33453811",,,,"Theodore L. Cuyler, D.D. /"
"ocm33435473",,,,"Twenty-fifth anniversary of the pastorate of Rev. Theodore L. Cuyler, D.D. of the Lafayette Ave. Presbyterian Church, Brooklyn, N.Y., Sabbath, April 5th, 1885."
"ocm33412527",,,,"Twentieth anniversary of the Rev. James Henry Darlington, D.D., Ph. D. of Christ Church, Bedford Avenue, Brooklyn, New York."
"ocm11889993","\\$a52004654",,,"Biographical memoir of Charles Benedict Davenport, 1866-1944."
"ocm01727850","\\$a75007015","0672521121",,"The times we had :"
"ocm34204480",,,,"William Jackson Davis. :"
"ocm01320232",,,,"Port Jefferson's foremost painter, W.M. Davis, 1829-1920."
"ocm00850387","\\$a22021366",,,"Henry Pomeroy Davison"
"ocm04240498","\\$a05004103",,,"George Dawson."
"ocm00831655",,,,"A memorial of the Rev. Daniel De Vinne"
"ocm33421449",,,,"A memorial of Joanna Augusta De Vinné :"
"ocm11435889",,,,"A retrospect of 25 years with the New York Central Railroad and its allied lines ... :"
"ocm01895148","\\$a11015057",,,"Speeches of Hon. Chauncey M. Depew,"
"ocm18125814","\\$aca 11000428",,,"Birthday speech of Senator Chauncey M. Depew."
"ocm04185259","\\$a14000639",,,"Later speeches of Hon. Chauncey M. Depew, LL. D."
"ocm34090509",,,,"Profiles :"
"ocn228690011","\\$a34024600",,,"A sermon, occasioned by the death of David Bates Douglass, LL.D. :"
"ocm35011355",,,,"A contemporary glimpse at Henry Ward Beecher /"
"ocm13070236","\\$a19002458",,,"Thirty-two years of the life of an adventurer /"
"ocm02631512","\\$a15015837",,,"Some views on the threshold of fourscore,"
"ocm09398803","\\$a19015055",,,"Addresses and literary contributions on the threshold of eighty-two /"
"ocm33420248",,,,"Hon. Chauncey Mitchell Depew /"
"ocm33308890",,,,"William Ludwig Detmold :"
"ocm20392585","\\$a89027080","0312039026 :",,"Once a Bum, always a Dodger /"
"ocm05667151",,,,"John Bancroft Devins :"
"ocm14701467",,,,"In memoriam, Augusta Willoughby Duffield, daughter of Samuel A. and Margaretta Willoughby :"
"ocm00191193","\\$a99002919",,,"Life and achievement of Admiral Dewey from Montpelier to Manila ..."
"ocm32954735",,,,"Orville Dewey :"
"ocm08911376",,,,"In memoriam :"
"ocm33489100",,,,"Twentieth anniversary dinner in honor of the Right Reverend James Pernette DeWolfe, D.D., LL. D., Bishop of Long Island."
"ocm34661456",,,,"Towards the sunset :"
"ocm85223538",,,,"Robert Latou Dickinson :"
"ocm33422149",,,,"Memorial of the late Rev. Henry R. Dickson, minister of the First Reformed Church, Brooklyn, N.Y."
"ocm34204262",,,,"In memoriam :"
"ocm29639640",,,,"Tributes to D.R. Floyd-Jones."
"ocm33858118",,,,"Biography of General William Floyd :"
"ocm85223550",,,,"Charge to Greenport at the installment of the Rev. James J. Dunlop, May 12, 1893 /"
"ocm00668800","\\$a73157713",,,"A portrait of William Floyd, Long Islander,"
"ocm03698419",,,,"Henry C. Folger, 18 June 1857-11 June 1930 ..."
"ocm00823139","\\$a17030977",,,"In memory of Edward Bliss Foote, M.D. :"
"ocm33925936",,,,"The worshipful master and wardens of Nassau Lodge No. 536, Free and Accepted Masons, take pleasure in inviting you and your masonic friends to attend the investiture of Right Worshipful William P. Dunn, district deputy grand master."
"ocm05300476","\\$a16009581",,,"Edwin Forrest:"
"ocm07667729","\\$a51055344",,,"Cyrus David Foss,"
"ocm08913082","\\$a09035623",,,"Charles T. Dunwell (late a representative from New York) :"
"ocm85223558",,,,"Obituary of Elder James Riley Foster, 1832-1903 /"
"ocm33886294",,,,"Tribute to George Ryerson Fowler, M.D. /"
"ocm05874232",,,,"Memoir of Theodosius Fowler,"
"ocm34045471",,,,"Review of the impeachment trial of Com'r Wm. A. Fowler in the matter of the Hempstead Storage Reservoir."
"ocm07305408",,,,"The adventures of Ebenezer Fox in the revolutionary war."
"ocm10632520","\\$a03026037",,,"The revolutionary adventures of Ebenezer Fox."
"ocm22756963",,,,"Last sermon and farewell address by the Rev. Joseph T. Duryea, D.D. to the Classon Ave. Presbyterian Church, Brooklyn, N.Y., delivered April 6th, 1879 /"
"ocm33478055",,,,"Silas Belden Dutcher :"
"ocm06383067","\\$a36023690",,,"Gospel ministers unto God a sweet savor of Christ,"
"ocm33927688",,,,"An American :"
"ocm07939942",,,,"David Frothingham, pioneer editor /"
"ocm33886142",,,,"Tributes to the memory of Mrs. Isaac H. Frothingham :"
"ocm09116018","\\$a34040531",,,"Memoir of the Rev. Albert M. Duy ... /"
"ocm33880227",,,,"Services at the funeral of John Whipple Frothingham :"
"ocm10369598",,,,"Two discourses preached at St. Ann's Church, Brooklyn, New York :"
"ocm34128447",,,,"Memorial services of Commonwealth Lodge, 409, F. & A.M. for R.W. James M. Fuller, Thursday, April 16, 1891 at Aurora Grata Cathedral, Brooklyn, N.Y."
"ocm05936789","\\$a08012874",,,"In memoriam, Theodore William Dwight, born July 18th, 1822, died J une 29th, 1892."
"ocm34111863",,,,"A memorial of John G. Fuller :"
"ocm27301061",,"0963531204 (pbk.)",,"Love grows in Brooklyn /"
"ocm33879984",,,,"Lillian Craven Fancher Funnell :"
"ocm19432614",,,,"[Addresses at a] dinner given in honor of Mr. Justice Jackson O. Dykman, December 14, 1896."
"ocm37504322",,,,"Gabriel Furman :"
"ocm33927823",,,,"In memoriam :"
"ocm03431504","\\$a56058838",,,"Wilburforce Eames as I recall him."
"ocm33950207",,,,"A tribute to the memory of Dr. Darwin G. Eaton :"
"ocm33926367",,,,"Jonathan Edwards :"
"ocm62895814","\\$a2005037706","0814799450 (cloth : alk. paper);0814799469 (pbk. : alk. paper)",,"Brooklyn by name :"
"ocm26908273",,,,"Two sermons in memory of the late James Abram Garfield, President of the United States."
"ocm21893156",,,,"A sermon upon the death of James A. Garfield :"
"ocm04560192",,,,"Life of President Garfield /"
"ocm14120091",,,,"The life and public service of James A. Garfield ..."
"ocm34054347",,,,"A sermon on the death of President Garfield :"
"ocm30748777",,,,"Memorial of President Garfield."
"ocm13814144",,,,"Hope in death and comfort in mourning :"
"ocm33851488",,,,"Memorial to Mayor Gaynor, September 15, 1913 /"
"ocm00089646","\\$a77124251","0836954394",,"Gaynor, the Tammany mayor"
"ocm20975618",,,,"In memoriam, Jasper Willett Gilbert :"
"ocm33309183",,,,"Love on parole, 1778-1780 /"
"ocm25425183",,,,"Joseph Goldmark, M.D. :"
"ocm12604393",,,,"Proceedings of the First Unitarian Congregational Society, Church of the Saviour, of Brooklyn, N.Y., commemorative of its late pastor, the Reverend Alfred Everett Goodnough :"
"ocm85223560",,,,"[Letter], 1915 April 2, Paris [to] Herbert W. Congdon, Herbert W. Goepel and Rudolph Evers, 23rd Infantry, Brooklyn."
"ocm16978828",,,,"Appeal of Charles Gould from the session of the Madison Square Presbyterian Church."
"ocm01979471","\\$a17018746",,,"Life of Jay Gould,"
"ocm11309121","\\$a12008322",,,"The Philadelphia failure."
"ocm10272085","\\$a11002800",,,"The Greeley Monument :"
"ocm34146038",,,,"A discourse occasioned by the death of Mrs. Mary Augusta Greene :"
"ocm06818362",,,,"A book of remembrance /"
"ocm03083453",,,,"Memoirs of the life and gospel labors of Stephen Grellet,"
"ocm13659539",,,,"Walter Scott Griffith :"
"ocm33935206",,,,"A review of the nineteen years' work of Almon Gunnison, D.D. with All Souls' Church :"
"ocm31346957",,,,"Memorial service the reverend Charles Henry Hall, Church of the Holy Trinity Brooklyn, N.Y., Eve of All Saints."
"ocm34381824",,,,"Nathan Hale :"
"ocm35266713",,,,"In memoriam :"
"ocm35080352",,,,"Memorial address :"
"ocm34202461",,,,"The installation of the Rev. Phillips Packer Elliott as minister of the First Presbyterian Church of Brooklyn :"
"ocm33926419",,,,"Program and reception in honor of Dr. and Mrs. Phillips Packer Elliott on the occasion of their twenty-fifth anniversary at the First Presbyterian Church, Brooklyn, New York :"
